Date,Flight_No,Origin,Destination,Aircraft_Type,Capacity_KG,Booked_KG,Loaded_KG,Offloaded_KG,Revenue_INR,Delay_Minutes
2025-09-19,AI232,CCU,BLR,A321,20000,15314,14334,980,779709,20
2025-07-11,AI233,DEL,BOM,A321,20000,19078,18452,626,1166542,57
2025-05-17,AI234,CCU,BLR,B787,35000,29176,27610,1566,1274677,63
2025-07-21,AI235,DEL,BOM,A320,18000,15092,14075,1017,661708,53
2025-11-25,AI236,DEL,HYD,A321,20000,18131,17308,823,831055,87
2025-02-12,AI237,DEL,BOM,A320,18000,16017,15270,747,957733,2
2025-08-08,AI238,CCU,DEL,A321,20000,14774,13666,1108,622008,31
2025-03-24,AI239,DEL,HYD,A321,20000,15554,14554,1000,881127,15
2025-11-19,AI240,CCU,DEL,A320,18000,16433,15338,1095,779261,65
2025-12-01,AI241,DEL,HYD,A320,18000,14068,13317,751,639909,52
2025-03-05,AI242,DEL,HYD,A320,18000,15571,14764,807,829120,88
2025-08-18,AI243,CCU,BLR,A321,20000,19060,17588,1472,896954,88
2025-08-08,AI244,DEL,HYD,A321,20000,16561,16273,288,814815,2
2025-05-21,AI245,BOM,BLR,A320,18000,14952,13986,966,669312,59
2025-04-06,AI246,BOM,BLR,B787,35000,25485,24134,1351,1339824,9
2025-08-17,AI247,CCU,BLR,A320,18000,16000,15111,889,782573,52
2025-03-11,AI248,CCU,DEL,A321,20000,15819,15595,224,803395,6
2025-02-28,AI249,DEL,HYD,A321,20000,16098,15047,1051,773966,61
2025-01-21,AI250,CCU,DEL,A321,20000,17424,16555,869,758172,84
2025-12-09,AI251,BOM,BLR,A320,18000,13693,12647,1046,749108,70
2025-11-08,AI252,CCU,DEL,B787,35000,27994,25784,2210,1498670,48
2025-04-03,AI253,CCU,BLR,A321,20000,16399,15161,1238,769992,61
2025-10-22,AI254,CCU,DEL,A321,20000,14148,13378,770,856853,84
2025-12-08,AI255,BOM,BLR,B787,35000,26733,26274,459,1676716,14
2025-10-26,AI256,CCU,BLR,A321,20000,17471,16818,653,842056,86
2025-09-23,AI257,CCU,BLR,A320,18000,16704,16090,614,894428,64
2025-03-04,AI258,DEL,HYD,A320,18000,16158,15451,707,788122,15
2025-03-03,AI259,BOM,BLR,A321,20000,16949,16218,731,789638,18
2025-05-09,AI260,BOM,BLR,A320,18000,15528,14990,538,943019,23
2025-03-10,AI261,BOM,BLR,A321,20000,18591,18228,363,1048263,80
2025-07-25,AI262,CCU,DEL,A321,20000,14965,14598,367,733936,48
2025-06-01,AI263,BOM,BLR,A321,20000,15865,14794,1071,935953,40
2025-07-04,AI264,DEL,BOM,A321,20000,15165,14915,250,802530,88
2025-11-07,AI265,BOM,BLR,A320,18000,12889,12569,320,641860,3
2025-04-03,AI266,DEL,HYD,B787,35000,29472,27719,1753,1528491,57
2025-10-26,AI267,DEL,HYD,A321,20000,14743,13878,865,692358,52
2025-08-19,AI268,CCU,BLR,A321,20000,13474,13311,163,799096,71
2025-10-21,AI269,CCU,BLR,A321,20000,15941,15416,525,910873,8
2025-07-26,AI270,DEL,HYD,A321,20000,14357,14205,152,823141,27
2025-06-12,AI271,BOM,BLR,B787,35000,29836,29036,800,1364367,59
2025-06-20,AI272,BOM,BLR,A320,18000,12851,12561,290,718252,32
2025-10-15,AI273,DEL,HYD,A320,18000,14891,14054,837,876511,32
2025-03-09,AI274,BOM,BLR,B787,35000,27698,27158,540,1670565,79
2025-02-19,AI275,CCU,DEL,B787,35000,26272,25771,501,1329703,46
2025-11-22,AI276,CCU,DEL,A320,18000,16918,15790,1128,819292,54
2025-11-12,AI277,CCU,BLR,A321,20000,18595,18177,418,1032425,66
2025-06-20,AI278,DEL,BOM,A320,18000,16801,16396,405,1015537,74
2025-04-21,AI279,CCU,DEL,B787,35000,33799,32216,1583,2060259,8
2025-04-28,AI280,DEL,BOM,A320,18000,14295,13261,1034,683064,50
2025-06-25,AI281,CCU,DEL,A321,20000,17468,16791,677,1080421,40
2025-02-05,AI282,DEL,HYD,A321,20000,14824,14497,327,666157,18
2025-04-08,AI283,DEL,HYD,A320,18000,13693,13001,692,618687,61
2025-03-02,AI284,CCU,DEL,A320,18000,12427,12285,142,607913,25
2025-10-26,AI285,CCU,BLR,B787,35000,31786,29257,2529,1549352,10
2025-04-18,AI286,CCU,DEL,A320,18000,12402,12136,266,689451,67
2025-02-05,AI287,CCU,BLR,B787,35000,32066,30737,1329,1986464,0
2025-06-17,AI288,CCU,BLR,A321,20000,15830,14987,843,842883,46
2025-02-15,AI289,CCU,BLR,A320,18000,13421,13268,153,730584,0
2025-01-03,AI290,DEL,HYD,A320,18000,15991,14797,1194,778060,50
2025-06-12,AI291,BOM,BLR,B787,35000,28337,27240,1097,1280407,34
2025-09-13,AI292,BOM,BLR,A321,20000,14646,13662,984,875009,82
2025-08-25,AI293,DEL,HYD,A320,18000,12149,11444,705,564868,87
2025-07-12,AI294,DEL,BOM,A321,20000,16952,16481,471,972554,1
2025-03-01,AI295,CCU,BLR,B787,35000,24683,23163,1520,1210841,4
2025-01-08,AI296,DEL,BOM,A321,20000,19437,18343,1094,1041631,81
2025-12-17,AI297,CCU,BLR,A320,18000,13672,13184,488,758924,42
2025-02-01,AI298,CCU,DEL,A321,20000,17367,16842,525,951116,5
2025-01-06,AI299,DEL,HYD,A320,18000,16242,15531,711,784998,25
2025-05-01,AI200,CCU,DEL,A320,18000,14961,14602,359,929109,5
2025-01-23,AI201,DEL,BOM,A320,18000,17160,16706,454,1030081,51
2025-12-15,AI202,CCU,DEL,B787,35000,24362,22533,1829,1020629,84
2025-01-11,AI203,DEL,HYD,A320,18000,13984,13777,207,698542,75
2025-11-02,AI204,CCU,DEL,A321,20000,18256,16800,1456,985622,3
2025-01-28,AI205,DEL,BOM,B787,35000,27606,25741,1865,1172666,36
2025-10-16,AI206,DEL,HYD,A321,20000,16177,15329,848,791665,71
2025-10-01,AI207,BOM,BLR,A320,18000,16094,15418,676,721253,5
2025-09-28,AI208,CCU,DEL,A321,20000,15752,15374,378,746519,61
2025-11-03,AI209,CCU,DEL,B787,35000,33539,32029,1510,1476984,1
2025-06-15,AI210,CCU,BLR,A321,20000,14212,13656,556,870488,76
2025-01-08,AI211,CCU,DEL,A321,20000,18289,16846,1443,1077009,24
2025-07-08,AI212,CCU,DEL,B787,35000,23851,22854,997,1306129,34
2025-04-01,AI213,BOM,BLR,A320,18000,16925,16319,606,846993,16
2025-01-28,AI214,DEL,BOM,A320,18000,17452,16286,1166,983550,49
2025-06-27,AI215,CCU,BLR,A320,18000,15439,14241,1198,921143,13
2025-07-24,AI216,DEL,BOM,A320,18000,13029,12030,999,659290,86
2025-05-21,AI217,BOM,BLR,A321,20000,14834,13994,840,705200,78
2025-11-07,AI218,DEL,BOM,A321,20000,13033,12302,731,593229,77
2025-09-11,AI219,CCU,BLR,B787,35000,24891,24525,366,1242703,24
2025-06-08,AI220,BOM,BLR,A321,20000,14222,13524,698,681527,21
2025-06-20,AI221,CCU,BLR,A321,20000,19448,18832,616,1085600,24
2025-08-21,AI222,DEL,HYD,A321,20000,13391,12781,610,814844,5
2025-03-19,AI223,CCU,DEL,B787,35000,29506,27334,2172,1569394,28
2025-01-21,AI224,DEL,BOM,A321,20000,15275,14591,684,772326,57
2025-10-16,AI225,BOM,BLR,A320,18000,13277,12229,1048,600589,37
2025-03-15,AI226,DEL,HYD,A320,18000,13154,12370,784,578406,66
2025-08-21,AI227,DEL,BOM,A320,18000,15761,14632,1129,821518,0
2025-04-15,AI228,DEL,HYD,B787,35000,26659,24576,2083,1309484,46
2025-09-27,AI229,BOM,BLR,B787,35000,33116,31518,1598,1532657,25
2025-11-25,AI230,BOM,BLR,A320,18000,12678,11999,679,637322,14
2025-07-20,AI231,CCU,DEL,A320,18000,13565,12511,1054,662793,71
2025-07-01,AI232,CCU,BLR,A320,18000,14503,14246,257,832741,73
2025-03-17,AI233,BOM,BLR,A320,18000,15692,14644,1048,937171,32
2025-04-11,AI234,DEL,BOM,A320,18000,15721,14833,888,736712,84
2025-10-26,AI235,CCU,BLR,B787,35000,33974,32677,1297,1781608,16
2025-04-10,AI236,DEL,HYD,B787,35000,24872,24372,500,1360484,38
2025-04-04,AI237,BOM,BLR,A321,20000,19262,18649,613,993976,89
2025-06-16,AI238,CCU,DEL,A321,20000,16154,15851,303,897926,82
2025-02-13,AI239,DEL,HYD,A321,20000,17224,16711,513,958825,89
2025-12-21,AI240,BOM,BLR,A320,18000,14958,14475,483,699934,7
2025-03-02,AI241,CCU,BLR,A320,18000,17321,15944,1377,1019356,72
2025-04-05,AI242,CCU,DEL,A321,20000,18914,17798,1116,988857,80
2025-09-24,AI243,BOM,BLR,A320,18000,14235,13343,892,863739,62
2025-12-10,AI244,DEL,BOM,A321,20000,15178,14628,550,848718,6
2025-03-17,AI245,CCU,DEL,A321,20000,16571,15917,654,873318,38
2025-10-28,AI246,BOM,BLR,A321,20000,18450,17097,1353,1023215,51
2025-02-13,AI247,BOM,BLR,A321,20000,15061,14239,822,799702,57
2025-10-01,AI248,CCU,BLR,A321,20000,18568,17297,1271,1108656,55
2025-06-23,AI249,CCU,DEL,A321,20000,19443,17946,1497,1138697,38
2025-12-06,AI250,DEL,HYD,A321,20000,13297,12244,1053,779807,87
2025-09-25,AI251,BOM,BLR,A321,20000,16449,15558,891,965954,83
2025-10-14,AI252,BOM,BLR,B787,35000,29741,28917,824,1445971,24
2025-03-28,AI253,CCU,BLR,B787,35000,29001,28565,436,1848867,15
2025-01-19,AI254,DEL,BOM,B787,35000,27265,25493,1772,1409079,68
2025-11-05,AI255,DEL,BOM,A320,18000,17140,16852,288,1049151,25
2025-04-14,AI256,DEL,BOM,B787,35000,27759,26111,1648,1552590,49
2025-06-14,AI257,DEL,HYD,A320,18000,13095,12402,693,678040,26
2025-10-18,AI258,DEL,BOM,A320,18000,15276,14477,799,862568,46
2025-05-17,AI259,BOM,BLR,A320,18000,11993,11159,834,715378,21
2025-07-02,AI260,CCU,BLR,A321,20000,16482,15570,912,769342,20
2025-12-21,AI261,CCU,BLR,A321,20000,15928,15455,473,985633,89
2025-09-24,AI262,CCU,BLR,A320,18000,14174,13518,656,696424,56
2025-06-14,AI263,DEL,BOM,B787,35000,28265,27135,1130,1614141,25
2025-05-26,AI264,DEL,BOM,B787,35000,29126,28564,562,1747209,60
2025-10-13,AI265,CCU,BLR,A321,20000,18945,18451,494,1071088,26
2025-04-10,AI266,DEL,BOM,B787,35000,32090,31545,545,1659118,53
2025-04-15,AI267,CCU,DEL,A320,18000,16083,15611,472,789804,82
2025-04-11,AI268,DEL,BOM,A321,20000,15611,15205,406,883641,29
2025-06-17,AI269,DEL,BOM,A321,20000,15677,14691,986,868803,48
2025-01-24,AI270,CCU,DEL,A321,20000,16730,16306,424,1046351,30
2025-04-19,AI271,DEL,HYD,A320,18000,13111,12478,633,716157,52
2025-07-12,AI272,DEL,BOM,B787,35000,30868,28798,2070,1819347,1
2025-09-27,AI273,CCU,DEL,B787,35000,32223,30771,1452,1475470,52
2025-04-09,AI274,DEL,HYD,A320,18000,13912,13401,511,604005,89
2025-05-06,AI275,DEL,HYD,A320,18000,12161,11365,796,617699,23
2025-03-19,AI276,CCU,DEL,A320,18000,13916,13067,849,668969,14
2025-03-15,AI277,CCU,BLR,B787,35000,32050,31385,665,1984366,60
2025-10-10,AI278,CCU,BLR,A321,20000,17416,17145,271,837939,42
2025-04-06,AI279,CCU,BLR,A320,18000,16258,15049,1209,794470,22
2025-08-20,AI280,DEL,BOM,A321,20000,18575,17862,713,900071,53
2025-12-22,AI281,DEL,HYD,B787,35000,33247,31937,1310,1917022,22
2025-04-27,AI282,DEL,BOM,A321,20000,15807,15439,368,864831,8
2025-06-02,AI283,DEL,BOM,A320,18000,13057,12155,902,625340,10
2025-12-09,AI284,CCU,BLR,A321,20000,17311,17006,305,918453,64
2025-11-01,AI285,DEL,BOM,A320,18000,13011,12435,576,605590,0
2025-03-08,AI286,BOM,BLR,A320,18000,12749,12214,535,761454,53
2025-09-05,AI287,CCU,DEL,B787,35000,30217,28233,1984,1576417,35
2025-05-10,AI288,CCU,DEL,A321,20000,18542,18187,355,1137706,85
2025-12-13,AI289,CCU,BLR,B787,35000,29755,28632,1123,1801685,54
2025-09-24,AI290,CCU,DEL,B787,35000,32237,30005,2232,1669022,72
2025-08-10,AI291,CCU,BLR,A321,20000,14079,13781,298,880195,48
2025-06-22,AI292,DEL,HYD,A320,18000,13386,13028,358,652502,51
2025-04-23,AI293,CCU,DEL,A320,18000,16619,15895,724,754581,78
2025-06-22,AI294,BOM,BLR,B787,35000,23108,22790,318,1302934,48
2025-04-25,AI295,CCU,BLR,A320,18000,14865,14676,189,810085,87
2025-06-06,AI296,CCU,DEL,A321,20000,16700,15577,1123,925794,53
2025-02-15,AI297,DEL,HYD,A320,18000,13829,12985,844,777013,58
2025-05-07,AI298,CCU,BLR,A321,20000,16508,15972,536,814288,74
2025-04-04,AI299,CCU,BLR,A320,18000,14453,14038,415,885298,82
2025-06-22,AI200,BOM,BLR,A320,18000,12711,11744,967,628569,60
2025-04-28,AI201,BOM,BLR,A320,18000,14188,13720,468,870548,85
2025-05-15,AI202,DEL,BOM,A321,20000,15034,13933,1101,791772,89
2025-02-25,AI203,CCU,BLR,A321,20000,14506,13522,984,648398,52
2025-10-01,AI204,CCU,BLR,B787,35000,33440,32937,503,1932064,38
2025-07-26,AI205,DEL,BOM,A320,18000,13257,12613,644,589006,51
2025-05-24,AI206,DEL,BOM,A320,18000,15694,15007,687,816121,1
2025-01-11,AI207,BOM,BLR,A320,18000,17540,16171,1369,930256,25
2025-09-20,AI208,CCU,DEL,A321,20000,17325,16249,1076,846760,24
2025-08-09,AI209,DEL,HYD,A320,18000,17057,16389,668,1018510,78
2025-04-11,AI210,DEL,BOM,B787,35000,31772,29913,1859,1873252,66
2025-11-05,AI211,DEL,BOM,B787,35000,34175,32017,2158,1563977,76
2025-04-22,AI212,CCU,DEL,B787,35000,27335,25457,1878,1202035,47
2025-06-21,AI213,DEL,BOM,A320,18000,13286,12460,826,620553,74
2025-05-10,AI214,CCU,BLR,A321,20000,17843,16524,1319,835989,35
2025-06-16,AI215,CCU,DEL,A321,20000,17356,16570,786,938670,51
2025-08-16,AI216,CCU,BLR,A320,18000,12855,12114,741,690174,39
2025-03-22,AI217,CCU,DEL,A320,18000,15580,14541,1039,868080,65
2025-05-16,AI218,CCU,BLR,A321,20000,14221,13145,1076,677735,86
2025-01-03,AI219,DEL,BOM,B787,35000,26874,26585,289,1323397,87
2025-05-25,AI220,DEL,HYD,A320,18000,16737,15867,870,1022742,2
2025-10-08,AI221,BOM,BLR,A321,20000,17739,16862,877,868954,47
2025-06-17,AI222,CCU,BLR,B787,35000,22985,22258,727,1219402,83
2025-07-07,AI223,DEL,HYD,A320,18000,11877,11311,566,628148,56
2025-03-07,AI224,BOM,BLR,A321,20000,14933,14342,591,771696,86
2025-10-13,AI225,DEL,BOM,A320,18000,16766,15837,929,787228,43
2025-10-24,AI226,CCU,DEL,A321,20000,18518,17398,1120,958673,8
2025-10-08,AI227,CCU,BLR,A320,18000,12363,12072,291,719765,5
2025-06-09,AI228,DEL,BOM,A321,20000,13196,12275,921,603203,15
2025-09-06,AI229,DEL,HYD,A321,20000,18005,17055,950,913957,18
2025-06-24,AI230,CCU,BLR,A320,18000,13141,12679,462,638447,50
2025-11-22,AI231,CCU,DEL,A320,18000,14121,13261,860,678210,58
2025-08-16,AI232,CCU,DEL,A321,20000,13351,12366,985,763860,55
2025-10-08,AI233,CCU,DEL,B787,35000,28571,28131,440,1719396,89
2025-04-20,AI234,BOM,BLR,A320,18000,14798,14352,446,649434,44
2025-02-22,AI235,BOM,BLR,A321,20000,16012,15693,319,871559,78
2025-03-21,AI236,CCU,BLR,B787,35000,33694,32542,1152,1947696,39
2025-10-23,AI237,BOM,BLR,A320,18000,12098,11475,623,580230,28
2025-11-16,AI238,DEL,HYD,A321,20000,18446,17011,1435,1095881,16
2025-01-06,AI239,CCU,BLR,A320,18000,13336,12744,592,717561,60
2025-08-18,AI240,DEL,BOM,A321,20000,19416,18871,545,1095850,56
2025-07-22,AI241,DEL,BOM,B787,35000,25926,24048,1878,1268313,45
2025-05-22,AI242,BOM,BLR,A320,18000,15420,14859,561,683613,66
2025-06-03,AI243,DEL,HYD,A320,18000,16712,16153,559,923015,32
2025-10-22,AI244,BOM,BLR,B787,35000,29661,28085,1576,1655261,2
2025-05-27,AI245,BOM,BLR,B787,35000,24893,23006,1887,1441546,58
2025-03-10,AI246,BOM,BLR,A321,20000,18090,17366,724,1023997,64
2025-04-05,AI247,CCU,DEL,A321,20000,14843,14607,236,908806,35
2025-09-27,AI248,BOM,BLR,A321,20000,15459,15218,241,943892,82
2025-08-10,AI249,DEL,BOM,A321,20000,14837,14156,681,674786,60
2025-10-08,AI250,DEL,BOM,A320,18000,14536,13397,1139,629011,0
2025-04-15,AI251,CCU,BLR,A320,18000,16360,16097,263,782990,15
2025-02-25,AI252,DEL,BOM,A320,18000,14015,13337,678,674453,25
2025-06-01,AI253,BOM,BLR,A321,20000,14227,13592,635,767517,1
2025-07-06,AI254,CCU,DEL,A320,18000,12053,11494,559,610459,14
2025-08-10,AI255,DEL,BOM,A321,20000,15104,14913,191,865825,42
2025-06-14,AI256,BOM,BLR,A320,18000,17185,16574,611,810333,22
2025-09-19,AI257,DEL,HYD,A321,20000,18997,17481,1516,904335,40
